City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,63.88,overcast clouds,-33.65,115.3333,Observatory Guest House
1,Kapaa,US,75.11,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
3,San Rafael Del Sur,NI,86.97,clear sky,11.8485,-86.4384,Hospedaje El Chino
4,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Port Alfred,ZA,69.67,clear sky,-33.5906,26.891,The Halyards Hotel
6,Chuy,UY,82.58,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
9,Ratnagiri,IN,78.03,scattered clouds,16.9833,73.3,Hotel Landmark
10,Rikitea,PF,80.35,few clouds,-23.1203,-134.9692,People ThankYou
11,Sao Filipe,CV,71.15,clear sky,14.8961,-24.4956,Hotel Xaguate
12,Santa Maria,BR,83.5,clear sky,-29.6842,-53.8069,Hotel Morotin
17,Castro,BR,80.42,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
19,Puerto Ayora,EC,87.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
21,Sassandra,CI,83.05,scattered clouds,4.95,-6.0833,la terrasse
22,Coahuayana,MX,89.71,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
26,Horta,PT,60.44,mist,38.5333,-28.6333,Hotel do Canal | Horta - Faial
29,Ternate,ID,81.0,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
30,Port Lincoln,AU,63.7,few clouds,-34.7333,135.8667,Port Lincoln Hotel
32,Kendari,ID,76.68,overcast clouds,-3.945,122.4989,Hotel Wixel
33,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
34,Praia Da Vitoria,PT,62.85,broken clouds,38.7333,-27.0667,Hotel Branco I
35,Victoria,HK,77.95,scattered clouds,22.2855,114.1577,Mini Hotel Central
38,Souillac,MU,79.86,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Juruti,BR,85.41,scattered clouds,-2.1522,-56.0922,Pousada Marupiara
43,Bandarbeyla,SO,77.67,clear sky,9.4942,50.8122,JABIR HOTEL
44,Miraflores,MX,71.02,clear sky,19.2167,-98.8083,Hotel Mansión
45,Padang,ID,76.41,moderate rain,-0.9492,100.3543,Mercure Padang
46,Leeton,AU,62.51,broken clouds,-34.5667,146.4,Hydro Hotel
48,Ngunguru,NZ,63.84,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
49,Cabo San Lucas,MX,81.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
50,Hithadhoo,MV,83.91,clear sky,-0.6,73.0833,Scoop Guest House
53,Dubbo,AU,64.53,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
56,Jamestown,US,65.95,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,San Patricio,US,76.06,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Flinders,AU,68.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
59,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
61,Ponta Do Sol,PT,65.01,clear sky,32.6667,-17.1,Hotel do Campo
62,Los Llanos De Aridane,ES,63.12,scattered clouds,28.6585,-17.9182,Valle Aridane
63,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
64,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
65,Camacha,PT,58.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
66,Arraial Do Cabo,BR,91.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Saint-Philippe,RE,80.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
72,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
76,Pokhara,NP,70.48,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
77,Atuona,PF,79.03,few clouds,-9.8,-139.0333,Villa Enata
80,Nushki,PK,79.34,clear sky,29.5542,66.0215,Shams hotel
82,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
83,Peddapalli,IN,86.7,broken clouds,18.6167,79.3667,THE PEDDAPALLI ROCKS/VLOGS/EXTRAS & AF PRODUCTIONS
85,Barbacoas,CO,88.61,broken clouds,1.6715,-78.1398,edificio justin
86,Teknaf,BD,72.37,few clouds,20.8624,92.3058,Forestry Guesthouse
87,Pimenta Bueno,BR,80.74,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
88,Adamas,GR,55.02,few clouds,36.7333,24.4333,Aphrodite of Milos
90,Tecoanapa,MX,83.93,clear sky,16.5167,-98.75,Hotel Manglares
91,Gelemso,ET,68.0,scattered clouds,8.8167,40.5167,Colele kebeber
92,Sabanagrande,CO,87.89,scattered clouds,10.7912,-74.7606,Malecón Ecoturistico Sabanagrande
95,Hobart,AU,62.06,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
96,Sinnamary,GF,78.91,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
98,Bardiyah,LY,56.41,clear sky,31.7561,25.0865,بورتو بردية
99,Anshun,CN,60.42,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
100,Lahaina,US,75.81,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
101,Hermanus,ZA,72.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
102,Fare,PF,79.92,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
107,Lucea,JM,82.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
108,Butaritari,KI,80.94,broken clouds,3.0707,172.7902,Isles Sunset Lodge
110,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
111,Cascais,PT,66.47,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
112,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
113,Bredasdorp,ZA,69.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
115,Saint-Donat-De-Montcalm,CA,55.26,overcast clouds,46.3187,-74.2219,Le Lincoln Marina Spa
116,Hambantota,LK,80.29,heavy intensity rain,6.1241,81.1185,Bungalow 63
118,Muros,ES,58.15,clear sky,42.7762,-9.0603,Apartment Av. Castelao
119,Ribeira Grande,PT,61.2,mist,38.5167,-28.7,Quinta da Meia Eira
120,Port Macquarie,AU,66.09,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
122,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
127,Arlit,NE,84.15,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
129,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
130,Esperance,AU,64.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
131,Bugene,TZ,61.09,light rain,-1.5911,31.1403,Triple P Hotel
132,Pisco,PE,74.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
134,Pecos,US,72.43,haze,31.4229,-103.4932,Knights Inn & Suites Pecos
135,Mount Gambier,AU,57.11,fog,-37.8333,140.7667,The Commodore
137,New Norfolk,AU,61.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
139,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
142,Tual,ID,81.84,broken clouds,-5.6667,132.75,Grand Vilia Hotel
144,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
146,Rawson,AR,55.6,few clouds,-43.3002,-65.1023,Hosteria Sampedro
148,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
149,Fianarantsoa,MG,66.63,heavy intensity rain,-21.4333,47.0833,Soratel
150,Bhatgaon,IN,82.2,scattered clouds,21.15,81.7,SINGH DHABA N RESTAURANT
151,Gladstone,AU,71.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
152,Caravelas,BR,84.36,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
153,Kavieng,PG,82.92,few clouds,-2.5744,150.7967,Nusa Island Retreat
154,Chum Phae,TH,79.2,overcast clouds,16.5443,102.0992,Major Grand
160,Bullhead City,US,72.59,clear sky,35.1478,-114.5683,Harrah's Laughlin
161,Capitan Bado,PY,87.39,scattered clouds,-23.2667,-55.5333,Hotel Suiza
165,Bujaru,BR,88.39,scattered clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
167,Codrington,AU,61.41,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
171,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
172,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
173,Shache,CN,59.81,clear sky,38.4167,77.2406,Delong Hotel
175,San Jeronimo,PE,61.86,few clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
176,Kruisfontein,ZA,68.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
177,Half Moon Bay,US,60.62,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Ahipara,NZ,61.3,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
183,Saldanha,ZA,78.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
184,Riyadh,SA,57.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
185,Tayoltita,MX,79.38,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
187,Wana,PK,72.16,clear sky,32.2989,69.5725,Rest House at Wana Camp
189,Del Rio,US,72.0,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
191,Nishihara,JP,71.65,moderate rain,26.1842,127.7558,Minshuku Agaihama
192,Isangel,VU,79.86,light rain,-19.55,169.2667,Tanna Lodge
195,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
196,Molina,CL,76.37,broken clouds,-35.1167,-71.2833,Hostal Pucará
197,Lebu,CL,61.05,clear sky,-37.6167,-73.65,Hostal Las Lilas
198,Jaguey Grande,CU,94.33,clear sky,22.5269,-81.1286,Barberia hendrix
200,Guerrero Negro,MX,69.8,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
