,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,63.88,91,91,6.35,overcast clouds
1,Kapaa,US,22.0752,-159.319,75.11,79,100,10.36,overcast clouds
2,Port Elizabeth,ZA,-33.918,25.5701,71.1,86,75,12.66,broken clouds
3,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,39,3,12.06,clear sky
4,Cape Town,ZA,-33.9258,18.4232,77.41,40,0,11.5,clear sky
5,Port Alfred,ZA,-33.5906,26.891,69.67,74,1,14.25,clear sky
6,Chuy,UY,-33.6971,-53.4616,82.58,49,100,6.42,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,41.49,100,46,2.68,scattered clouds
8,Sioux Lookout,CA,50.1001,-91.917,30.27,93,100,6.91,overcast clouds
9,Ratnagiri,IN,16.9833,73.3,78.03,77,46,2.33,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,80.35,79,15,14.0,few clouds
11,Sao Filipe,CV,14.8961,-24.4956,71.15,68,1,11.03,clear sky
12,Santa Maria,BR,-29.6842,-53.8069,83.5,65,0,6.91,clear sky
13,Bluff,NZ,-46.6,168.3333,41.81,90,40,6.24,scattered clouds
14,Thompson,CA,55.7435,-97.8558,26.76,86,100,8.05,overcast clouds
15,Barrow,US,71.2906,-156.7887,-20.18,76,0,4.61,clear sky
16,Chokurdakh,RU,70.6333,147.9167,-26.1,100,73,6.87,broken clouds
17,Castro,BR,-24.7911,-50.0119,80.42,62,35,6.8,scattered clouds
18,Saskylakh,RU,71.9167,114.0833,-6.81,88,99,9.82,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,87.76,82,20,7.0,few clouds
20,Vila Velha,BR,-20.3297,-40.2925,87.75,69,20,14.97,few clouds
21,Sassandra,CI,4.95,-6.0833,83.05,73,35,7.81,scattered clouds
22,Coahuayana,MX,18.7333,-103.6833,89.71,26,1,6.96,clear sky
23,Albany,US,42.6001,-73.9662,53.94,64,88,7.99,light rain
24,Tadine,NC,-21.55,167.8833,76.89,83,100,2.98,overcast clouds
25,Vanavara,RU,60.34,102.2797,0.36,99,100,2.62,overcast clouds
26,Horta,PT,38.5333,-28.6333,60.44,94,75,27.63,mist
27,Tongren,CN,27.7172,109.1853,51.84,90,70,4.14,broken clouds
28,Norman Wells,CA,65.282,-126.8329,-2.16,65,100,5.75,light snow
29,Ternate,ID,0.8,127.4,81.0,78,94,2.73,overcast clouds
